x y
#power_2
0	25
1	24.01
2	23.04
3	22.09
4	21.16
5	20.25
6	19.36
7	18.49
8	17.64
9	16.81
10	16
11	15.21
12	14.44
13	13.69
14	12.96
15	12.25
16	11.56
17	10.89
18	10.24
19	9.61
20	9
21	8.41
22	7.84
23	7.29
24	6.76
25	6.25
26	5.76
27	5.29
28	4.84
29	4.41
30	4
31	3.61
32	3.24
33	2.89
34	2.56
35	2.25
36	1.96
37	1.69
38	1.44
39	1.21
40	1
41	0.81
42	0.64
43	0.49
44	0.36
45	0.25
46	0.16
47	0.09
48	0.04
49	0.01
50	0
51	0.01
52	0.04
53	0.09
54	0.16
55	0.25
56	0.36
57	0.49
58	0.64
59	0.81
60	1
61	1.21
62	1.44
63	1.69
64	1.96
65	2.25
66	2.56
67	2.89
68	3.24
69	3.61
70	4
71	4.41
72	4.84
73	5.29
74	5.76
75	6.25
76	6.76
77	7.29
78	7.84
79	8.41
80	9
81	9.61
82	10.24
83	10.89
84	11.56
85	12.25
86	12.96
87	13.69
88	14.44
89	15.21
90	16
91	16.81
92	17.64
93	18.49
94	19.36
95	20.25
96	21.16
97	22.09
98	23.04
99	24.01
100	25
