x y
#w
0	25
1	24
2	23
3	22
4	21
5	20
6	19
7	18
8	17
9	16
10	15
11	14
12	13
13	12
14	11
15	10
16	9
17	8
18	7
19	6
20	5
21	4
22	3
23	2
24	1
25	0
26	1
27	2
28	3
29	4
30	5
31	6
32	7
33	8
34	9
35	10
36	11
37	12
38	13
39	14
40	15
41	16
42	17
43	18
44	19
45	20
46	21
47	22
48	23
49	24
50	25
51	24
52	23
53	22
54	21
55	20
56	19
57	18
58	17
59	16
60	15
61	14
62	13
63	12
64	11
65	10
66	9
67	8
68	7
69	6
70	5
71	4
72	3
73	2
74	1
75	0
76	1
77	2
78	3
79	4
80	5
81	6
82	7
83	8
84	9
85	10
86	11
87	12
88	13
89	14
90	15
91	16
92	17
93	18
94	19
95	20
96	21
97	22
98	23
99	24
100	25
